,node_id,ShellName,CharityName,CharityHeadquarters
2,85023070,360,Good 360,Alexandria, Virginia
3,30011100,AMERICAN MUSEUM OF NATURAL HISTORY, THE,American Museum of Natural History,New York, New York
4,100318846,VISION WORLD INC.,World Vision,Federal Way, Washington
5,101208524,THE NATURE CONSERVANCY,Nature Conservancy,Arlington, Virginia
6,101422196,INTERNATIONAL RESCUE LTD.,International Rescue Committee,New York, New York
7,200117453,INTERNATIONAL RESCUE LTD,International Rescue Committee,New York, New York
8,200142576,American Jewish Committee Inc.,American Jewish Joint Distribution Committee,New York, New York
9,55048930,Vision World Ltd,World Vision,Federal Way, Washington
10,55087396,MAP,MAP International,Brunswick, Georgia
