,node_id,ShellName,CharityName,CharityHeadquarters
0,20019717,CROSS INTERNATIONAL CORP.,Cross International,Pompano Beach, Florida
1,20126581,United Way Limited,United Way Worldwide,Alexandria, Virginia
2,20098551,MEDIA FOUNDATION LTD.,Educational Media Foundation,Rocklin, California
3,20099847,GOODWILL INTERNATIONAL LTD.,Goodwill Industries International,Rockville, Maryland
