,node_id,ShellName,CharityName,CharityHeadquarters
0,80121170,Save the Children,Save the Children,
1,80121170,Save the Children,Save the Children International,
2,80145944,World Vision International,World Vision International,
4,80060585,Amnesty International,Amnesty International,London, WC1United Kingdom
5,80135846,Amnesty International,Amnesty International,London, WC1United Kingdom
