,node_id,ShellName,CharityName,CharityHeadquarters
0,109972,World Vision                            ,World Vision International,
"2,121744,Greenpeace International                ,Greenpeace,""Amsterdam, Netherlands"""
"4,61034,Amnesty International                   ,Amnesty International,""London, WC1United Kingdom"""
