,0,1,2,3
0, CA," United States""""""",,
1,20017086,MARIE INTERNATIONAL INC.,Marie Stopes International,London
2,20043195,ACUMEN CORP.,Acumen,
3,20045185,VISION INTERNATIONAL LIMITED,World Vision International,
4,20063116,CANTEEN LIMITED,CanTeen,
5,20072346,OPPORTUNITY INTERNATIONAL LTD,Opportunity International,
6,20081329,EAST MEETS WEST LIMITED,East Meets West,
7,20075548,ACUMEN INCORPORATED,Acumen,
8,20077453,CANCER RESEARCH CORP,Cancer Research UK,
9, D.C.," U.S.""""""",,
10,20075969,CARE INC,CARE,
11,20087962,ACUMEN ENTERPRISES,Acumen,
12,20125485,SANDY LIMITED, Sandy,
13,20098131,CHARITY FOR CHILDREN ALLIANCE LTD.,The Alliance for Safe Children,
14,20103513,YOUNG LIVES INC.,Young Lives,
15, CA," United States""""""",,
16, D.C.," U.S.""""""",,
17,20045185,VISION INTERNATIONAL LIMITED,World Vision International,
18,20062102,CHRISTIAN INTERNATIONAL LTD.,International Christian Concern,
19,20075969,CARE INC,CARE,
20,20101626,INTERNATIONAL VISION LTD.,World Vision International,
21," Florida""""""",,,
22," Virginia""""""",,,
23," California""""""",,,
24," Maryland""""""",,,
