,name,Income($),Field,Top Person,Fiscal Year End,Headquarters,Country
58,International Rescue Committee,228000000,International Needs,David Miliband,"Sep 30, 2017","New York, New York",United States
59,Young Life,224000000,Religious,Newton Crenshaw,"Sep 30, 2017","Colorado Springs, Colorado",United States
60,World Wildlife Fund,222000000,Environment/Animal,Carter Roberts,"Jun 30, 2017","Washington, District of Columbia",United States
61,Easterseals,221000000,Health,Angela Williams,"Dec 31, 2017","Chicago, Illinois",United States
62,National Multiple Sclerosis Society,215000000,Health,Cynthia Zagieboylo,"Sep 30, 2017","New York, New York",United States
63,Public Broadcasting Service,212000000,Public Broadcasting,Paula Kerger,"Jun 30, 2016","Arlington, Virginia",United States
64,Metropolitan Museum of Art,209000000,Cultural,Daniel Weiss,"Jun 30, 2017","New York, New York",United States
65,Helen Keller Interntional,207000000,International Needs,Kathy Spahn,"Jun 30, 2017","New York, New York",United States
66,Foothills Land Conservancy,206000000,Environment/Animal,Bill Clabough,"Dec 31, 2014","Maryville, Tennessee",United States
67,JDRF International,199000000,Health,Derek Rapp,"Jun 30, 2017","New York, New York",United States
68,Smithsonian Institution,198000000,Cultural,David Skorton,"Sep 30, 2016","Washington, District of Columbia",United States
69,UJA/Federation of New York,195000000,Domestic Needs,Eric Goldstein,"Jun 30, 2017","New York, New York",United States
70,Teach for America,194000000,Education,Elisa Villanueva Beard,"May 31, 2017","New York, New York",United States
71,Scholarship America,192000000,Education,Robert Ballard,"Dec 31, 2017","Minneapolis, Minnesota",United States
72,Paralyzed Veterans of America,191000000,Domestic Needs,David Zurfluh,"Sep 30, 2017","Washington, District of Columbia",United States
73,Children International,188000000,International Needs,Susana Eshleman,"Sep 30, 2016","Kansas City, Missouri",United States
74,Matthew 25: Ministries,185000000,International Needs,Wendell Mettey,"Dec 31, 2017","Cincinnati, Ohio",United States
75,Harlem Children's Zone,184000000,Youth,Geoffery Canada,"Jun 30, 2015","New York, New York",United States
76,Medical Teams International,184000000,International Needs,Martha Newsome,"Sep 30, 2015","Tigard, Oregon",United States
77,ClimateWorks Foundation,184000000,Public Affairs,Charlotte Pera,"Dec 31, 2014","San Francisco, California",United States
78,Robin Hood Foundation,183000000,Domestic Needs,David Saltzman,"Dec 31, 2015","New York, New York",United States
79,Wycliffe Bible Translators,182000000,Religious,Robert Creson,"Sep 30, 2017","Orlando, Florida",United States
80,March of Dimes Foundation,181000000,Health,Stacey Stewart,"Dec 31, 2017","White Plains, New York",United States
81,Humane Society of the United States,180000000,Environment/Animal,Kitty Black,"Dec 31, 2017","Washington, District of Columbia",United States
82,United Service Organizations,179000000,Domestic Needs,J.D. D. Crouch II,"Dec 31, 2017","Arlington, Virginia",United States
83,New York-Presbyterian Hospital,178000000,Medical,Steven Corwin,"Dec 31, 2017","New York, New York",United States
84,Metropolitan Opera Association,176000000,Cultural,Peter Gelb,"Jul 31, 2017","New York, New York",United States
85,American SPCA,173000000,Environment/Animal,Matthew Bershadker,"Dec 31, 2017","New York, New York",United States
86,Christian Broadcasting Network/Operation Blessing,173000000,Religious,Gordon Robertson,"Mar 31, 2018","Virginia Beach, Virginia",United States
87,United Negro College Fund,171000000,Education,Michael Lomax,"Mar 31, 2014","Washington, District of Columbia",United States
88,Houston Food Bank,169000000,Domestic Needs,Brian Greene,"Jun 30, 2017","Houston, Texas",United States
89,Educational Media Foundation,162000000,Religious,Michael Novak,"Dec 31, 2017","Rocklin, California",United States
90,Project Orbis International,160000000,International Needs,John Ranck,"Dec 31, 2017","New York, New York",United States
91,PATH,158000000,International Needs,Steven Davis,"Dec 31, 2017","Seattle, Washington",United States
92,Museum of the Bible,156000000,Cultural,Cary Summers,"Jun 30, 2017","Oklahoma City, Oklahoma",United States
93,The Arc,153000000,Health,Peter Berns,"Dec 31, 2017","Washington, District of Columbia",United States
94,Junior Achievement USA,150000000,Youth,Jack Kosakowski,"Jun 30, 2017","Colorado Springs, Colorado",United States
95,Smile Train,150000000,International Needs,Susannah Schaefer,"Jun 30, 2017","New York, New York",United States
96,Jewish Federation of Metropolitan Chicago,149000000,Domestic Needs,Steven Nasatir,"Jun 30, 2015","Chicago, Illinois",United States
97,Cleveland Clinic,148000000,Healthcare & Social,Delos  Cosgrove,,"Cleveland, Ohio",United States
98,American Museum of Natural History,140000000,Cultural,Ellen Futter,"Jun 30, 2017","New York, New York",United States
99,American Diabetes Association,140000000,Health,Kevin Hagan,"Dec 30, 2015","Alexandria, Virginia",United States
